Story Sequence,Record Type,Title,Functional Specifications,Project,Release,Sprint
1,User Story,Create a Travel Approval Lightning App,"<p><a href=""https://trailhead.salesforce.com/en/content/learn/projects/build-a-data-model-for-a-travel-approval-app/create-a-travel-approval-lightning-app?trail_id=build-a-travel-approval-app"" target=""_blank"">Create a Travel Approval Lightning App</a></p><p><br></p><p>In your <b>Dev1</b> Sandbox, skip the Trailhead Metadata and instead install this <a href=""https://test.salesforce.com/packaging/installPackage.apexp?p0=04t11000000YQYW"" target=""_blank"">metadata</a> for All Users</p><p><br></p><p><i>Should</i> have <b>4</b> Components in your Commit</p><p><br></p><p>Promote to DevMerge, then Back Promote to all &quot;sibling&quot; Devs</p>",Proj-CB,Rel-CB,TAA-S1
2,User Story,Create a Department Object,"<p>Before working this US - make sure <b>all</b> Back Promotions from DevMerge have completed successfully.</p><p><br></p><p><a href=""https://trailhead.salesforce.com/en/content/learn/projects/build-a-data-model-for-a-travel-approval-app/create-the-department-object?trail_id=build-a-travel-approval-app"" target=""_blank"">Create a Department Object</a></p><p><br></p><p>In your <b>Dev2</b> Sandbox, install this <a href=""https://test.salesforce.com/packaging/installPackage.apexp?p0=04t1F000000VsK0&amp;isdtp=p1"" target=""_blank"">metadata</a> for All Users - make sure to answer the component names conflict as &quot;Do not install&quot; </p><p><br></p><p>Once the Metadata has installed, add the Departments Custom Tab to the end of our existing Travel App <i>after</i> Dashboard</p><p><br></p><p><i>Should</i> have <b>7</b> Components in your Commit</p><p><br></p><p>Promote to DevMerge, then Back Promote to all &quot;sibling&quot; Devs</p>",Proj-CB,Rel-CB,TAA-S1
3,User Story,Create a Travel Approval Object,"<p>Before working this US - make sure <b>all</b> Back Promotions from DevMerge have completed successfully.</p><p><br></p><p><a href=""https://trailhead.salesforce.com/en/content/learn/projects/build-a-data-model-for-a-travel-approval-app/create-a-travel-approval-object?trail_id=build-a-travel-approval-app"" target=""_blank"">Create a Travel Approval Object</a></p><p><br></p><p>In your <b>Dev3</b> Sandbox, install this <a href=""https://test.salesforce.com/packaging/installPackage.apexp?p0=04t17000000VFF1"" target=""_blank"">metadata</a> for All Users - make sure to answer the component names conflict as &quot;Do not install.&quot;</p><p><br></p><p>Once the Metadata has installed:</p><p><br></p><p><b>On the Travel Approval object</b></p><p>&gt; <b>Create</b> a Department lookup field using our Department object from <b>US Sequence 2</b></p><p><br></p><p><b>Stay in Setup and go to App Manager</b></p><p>&gt; add the Travel Approval Custom Tab to the end of your Travel App <i>after</i> Department</p><p><br></p><p><i>Should</i> have <b>13</b> Components in your Commit.</p><p><br></p><p>Promote/Deploy to DevMerge and Back Promote to all &quot;sibling&quot; Dev Sandboxes.</p>",Proj-CB,Rel-CB,TAA-S1
4,User Story,Create an Expense Item Object,"<p>Before working this US - make sure <b>all</b> Back Promotions from DevMerge have completed successfully.</p><p><br></p><p><a href=""https://trailhead.salesforce.com/en/content/learn/projects/build-a-data-model-for-a-travel-approval-app/create-the-expense-item-object?trail_id=build-a-travel-approval-app"" target=""_blank"">Create an Expense Item Object</a></p><p><br></p><p>In your <b>Dev4</b> Sandbox, install this <a href=""https://test.salesforce.com/packaging/installPackage.apexp?p0=04t0R000000cQ1U"" target=""_blank"">metadata</a> for All Users - make sure to answer the component names conflict as &quot;Do not install.&quot;</p><p><br></p><p>Once the Metadata has installed:</p><p><br></p><p><b>On the Expense Item object</b></p><p><br></p><p>&gt; <b>Create</b> a Travel Approval Master-Detail field using our Travel Approval object from <b>US Sequence 3</b></p><p><br></p><p><i>Should</i> have <b>6</b> Components in your Commit.</p><p><br></p><p>Promote/Deploy to DevMerge and Back Promote to all &quot;sibling&quot; Dev Sandboxes.</p>",Proj-CB,Rel-CB,TAA-S1
5,Bug,Make Department Code an External Id field,"<p>Before working this US - make sure <b>all</b> Back Promotions from DevMerge have completed successfully.</p><p><br></p><p><b>NOTE</b>: We are being <u>very</u> <u>good</u> Scrum Masters here - we are assigning the Bug User Stories for each Object to the Developer who completed the original work; this is <u>not</u> always reality.</p><p><br></p><p>In your <b>Dev2</b> Sandbox, go to the Department Object and find the Department Code field.</p><p><br></p><p>Edit the Department Code field, and check the box for External Id</p><p><br></p><p><i>Should</i> have only <b>1</b> Component in your Commit.</p><p><br></p><p>Promote/Deploy to DevMerge, but do not Back Promote to the &quot;sibling&quot; Dev Sandboxes just yet.</p>",Proj-CB,Rel-CB,TAA-S1
6,Bug,Clean up the All Departments List View,"<p>In your <b>Dev2</b> Sandbox, update the &quot;All&quot; List View for Department to include <b>Department Code </b>and <b>Last Modified By</b></p><p><br></p><p><i>Should</i> have only <b>1</b> Component in your Commit.</p><p><br></p><p>Promote/Deploy to DevMerge, but do not Back Promote to the &quot;sibling&quot; Dev Sandboxes just yet.</p>",Proj-CB,Rel-CB,TAA-S1
7,Bug,Clean up Department Object Layout,"<p>In your <b>Dev2</b> Sandbox, go to the Department Object and find the Department Layout.</p><p><br></p><p>Edit the Department Layout so that it looks like <a href=""https://github.com/Copado-Bootcamp/BootcampExamples/blob/main/Department%20Layout%20-%20Preview%20as%20System%20Administrator.png"" target=""_blank"">this screenshot in Git</a> when Previewed As System Administrator.</p><p><br></p><p>Make sure to set the Sort of the Travel Approvals Related List to be by Travel Approval # <i>Ascending</i></p><p><br></p><p><i>Should</i> have only <b>1</b> Component in your Commit.</p><p><br></p><p>Promote/Deploy to DevMerge.</p><p><br></p><p>Once that forward Promotion Completes Successfully, then we can Mass Back Promote all 3 Bugs to the &quot;sibling&quot; Dev Sandboxes together.</p>",Proj-CB,Rel-CB,TAA-S1
8,Bug,Add Ext Id Field to Travel Approval Object and fix Case Sensitivity for Destination State Field,"<p>Before working this US - make sure <b>all</b> Back Promotions from DevMerge have completed successfully.</p><p><br></p><p>In your <b>Dev3</b> Sandbox:</p><p><br></p><p><b>Create an External Id Field on the Travel Approval object:</b></p><p><br></p><p>Label = External Id</p><p>Field Name = External_Id</p><p>Length = 18</p><p>Required = True</p><p>Unique = True</p><p>&gt; Radial should be Case Sensitive</p><p>External Id = True</p><p><br></p><p><b>Create a new Validation Rule on the Travel Approval object:</b></p><p><br></p><p>Rule Name = Destination_State_must_be_uppercase</p><p>Active = True</p><p>Error Condition Formula = Destination_State__c &lt;&gt; UPPER( Destination_State__c )</p><p>Error Message = Destination State must be entered in UPPERCASE</p><p>Error Location = Destination State</p><p><br></p><p><i>Should</i> have <b>4</b> Components in your Commit.</p><p><br></p><p>Promote/Deploy to DevMerge, but hold off on Back Promoting to &quot;siblings&quot; for now.</p>",Proj-CB,Rel-CB,TAA-S1
9,Bug,Clean up the All Travel Approvals List View,"<p>In your <b>Dev3</b> Sandbox, update the &quot;All&quot; List View for Travel Approvals to include <b>External Id</b>, <b>Purpose of Trip</b>, <b>Status</b>, <b>Trip Start Date</b>, <b>Trip End Date</b>, <b>Destination State</b>, <b>Out-of-State</b>, <b>Department</b></p><p><br></p><p><i>Should</i> have <b>1</b> Components in your Commit.</p><p><br></p><p>Promote/Deploy to DevMerge, but hold off on Back Promoting to &quot;siblings&quot; for now.</p>",Proj-CB,Rel-CB,TAA-S1
10,Bug,"Clean up Travel Approval Object Layout, Add Expense Items Related List and add Files Related List","<p>In your <b>Dev3</b> Sandbox, go to the Travel Approval Object and find the Travel Approval Layout.</p><p><br></p><p>Edit the Travel Approval Layout so that it looks like <a href=""https://github.com/Copado-Bootcamp/BootcampExamples/blob/main/Travel%20Approvals%20Layout%20-%20Preview%20as%20System%20Administrator.png"" target=""_blank"">this screenshot in Git</a> when Previewed As System Administrator.</p><p><br></p><p>On the Expense Items Related List, make sure to set the Sort by Expense Item Number <i>Ascending</i></p><p><br></p><p><i>Should</i> have 1 Component in your Commit.</p><p><br></p><p>Promote/Deploy to DevMerge.</p><p><br></p><p>Once the forward Promotion completes successfully, Mass Back Promote all 3 User Stories to the &quot;sibling&quot; Dev Sandboxes</p>",Proj-CB,Rel-CB,TAA-S1
11,Bug,Add External Id Field to Expense Item Object,"<p>Before working this US - make sure <b>all</b> Back Promotions from DevMerge have completed successfully.</p><p><br></p><p>In your <b>Dev4</b> Sandbox:</p><p><br></p><p>Create an External Id Field on the Expense Item object:</p><p><br></p><p>Label = External Id</p><p>Field Name = External_Id</p><p>Length = 18</p><p>Required = True</p><p>Unique = True</p><p>&gt; Radial should be Case Sensitive</p><p>External Id = True</p><p><br></p><p><i>Should</i> have <b>3</b> Components in your Commit</p><p><br></p><p>Promote/Deploy to DevMerge, but hold off on Back Promoting to &quot;sibling&quot; Dev Sandboxes just yet.</p>",Proj-CB,Rel-CB,TAA-S1
12,Bug,Clean up Expense Items Object Layout,"<p>In your <b>Dev4</b> Sandbox, go to the Expense Item Object and find the Expense Item Layout.</p><p><br></p><p>Edit the Expense Item Layout so that it looks like <a href=""https://github.com/Copado-Bootcamp/BootcampExamples/blob/main/Expense%20Item%20Layout%20-%20Preview%20as%20System%20Administrator.png"" target=""_blank"">this screenshot in Git</a> when Previewed As System Administrator. Also, make the Expense Type Field <i>required in the Page Layout ONLY</i>.</p><p><br></p><p>Should have <b>1</b> Component in your Commit.</p><p><br></p><p>Promote/Deploy to DevMerge.</p><p><br></p><p>Once that forward Promotion successfully completes, then Mass Back Promote both Bugs to all &quot;sibling&quot; Dev Sandboxes.</p>",Proj-CB,Rel-CB,TAA-S1
13,User Story,Manual Task Only - Import Test Data into DevMerge and Test what you have built,"<p>Before working this US - make sure <b>all</b> Forward Promotions <i><u>to</u></i> DevMerge and all Back Promotions <i><u>from</u></i> DevMerge have completed successfully.</p><p><br></p><p>For this User Story, we will <i><u>not</u></i> be using the Trailhead module; rather, you will import the 3 Data files from our Bootcamp Examples Git Repository into <b>DevMerge</b>:</p><p><br></p><p>1. <a href=""https://github.com/Copado-Bootcamp/BootcampExamples/blob/main/Bootcamp%20Test%20Data%20-%20Departments.csv"" target=""_blank"">Departments (for DevMerge)</a></p><p>2. <a href=""https://github.com/Copado-Bootcamp/BootcampExamples/blob/main/Bootcamp%20Test%20Data%20-%20Travel%20Approvals.csv"" target=""_blank"">Travel Approvals (for DevMerge)</a></p><p>3. <a href=""https://github.com/Copado-Bootcamp/BootcampExamples/blob/main/Bootcamp%20Test%20Data%20-%20Expense%20Items.csv"" target=""_blank"">Expense Items (for DevMerge)</a></p><p><br></p><p>_______________</p><p><br></p><p>Then, later on, we will move the Test Data into <b>QA</b> using Deployment Tasks of Type = Data (SOQL Queries).</p><p>_______________</p><p><br></p><p>Finally, in order to move the Test Data into <b>UAT</b>, we will leverage Copado Data Deploy (Data Templates).</p>",Proj-CB,Rel-CB,TAA-S1
